code_commune,rga_hazard,flood_hazard,exposure_proxy,mhat,qhat_0.99,tail_mean_ratio
01001,0.32962547785346785,0.3529504756977379,860.0,189.01496212446975,536.6024932130255,2.8389418868314937
01002,0.32962547785346785,0.3529504756977379,270.0,176.4460699930693,482.8064346649244,2.736283299956121
01004,0.9866775890316462,0.8085280676036906,15934.0,349.8543818983638,1524.4144452288217,4.357282698467614
01005,0.32962547785346785,0.3529504756977379,1906.0,202.66055213860614,596.7453322212034,2.9445559381140436
01006,0.32962547785346785,0.3529504756977379,115.0,168.1705139435349,444.26183259193897,2.6417344050045823
01007,0.9866775890316462,0.9412779167025955,2841.0,336.54450696130147,1466.4195574467924,4.357282698467614
01008,0.32962547785346785,0.3529504756977379,760.0,205.31184877458813,620.3713246694076,3.0216050772136063
01009,0.32962547785346785,0.3529504756977379,348.0,187.20207093419046,531.4558004766737,2.8389418868314933
01010,0.32962547785346785,0.3529504756977379,1174.0,182.44062537793906,513.5910001164875,2.815113130929837
01011,0.32962547785346785,0.3529504756977379,415.0,175.22551945072772,479.4666625991627,2.736283299956121
01012,0.8895691414446265,0.3529504756977379,331.0,217.78146910051564,745.9047613066604,3.425014829716264
01013,0.7507688770084218,0.3529504756977379,138.0,196.3261061352331,619.9349401418356,3.157679599241951
01014,0.8895691414446265,0.3529504756977379,3555.0,271.94461290991524,1023.6580961007326,3.7642153861670025
01015,0.32962547785346785,0.3529504756977379,710.0,177.71445009526704,486.2770819565647,2.736283299956121
01016,0.8895691414446265,0.3529504756977379,462.0,230.65313949501518,806.4972209495671,3.4965802881126486
01017,0.7507688770084218,0.3529504756977379,419.0,232.86907883655186,797.5800483975559,3.4250148297162637
01019,0.32962547785346785,0.3529504756977379,25.0,154.31174346625477,392.3749273055573,2.542741845123166
01021,0.32962547785346785,0.3529504756977379,1528.0,211.05840099208478,644.6726590999458,3.0544752356203184
01022,0.32962547785346785,0.3529504756977379,1139.0,212.31698713592218,648.516979308192,3.0544752356203184
01023,0.32962547785346785,0.3529504756977379,78.0,166.04226696175874,438.6395693178338,2.6417344050045823
01024,0.9866775890316462,0.3529504756977379,3409.0,288.3086570281072,1145.0413702151395,3.971581644541147
01025,0.9866775890316462,0.3529504756977379,4050.0,269.58687774168,1038.2691582737677,3.8513341857412082
01026,0.9866775890316462,0.3529504756977379,971.0,300.1166772883853,1203.1121945903305,4.008814856477461
01027,0.32962547785346785,0.3529504756977379,3077.0,207.0354340225595,625.5793186056884,3.0216050772136063
01028,0.32962547785346785,0.3529504756977379,621.0,193.52310821945557,564.8412588645772,2.9187277119590602
01029,0.9579057802305194,0.3529504756977379,734.0,257.46815717449783,961.3332858319446,3.7337948753810575
01030,0.7507688770084218,0.3529504756977379,872.0,266.12430481866005,970.5974299227091,3.6471581601089933
01031,0.32962547785346785,0.3529504756977379,3525.0,213.5787812171813,652.3710980818503,3.0544752356203184
01032,0.32962547785346785,0.3529504756977379,3535.0,210.7719550540605,636.8696095255872,3.0216050772136063
01033,0.9579057802305194,0.3529504756977379,16712.0,288.5698117883376,1146.0785676672551,3.9715816445411476
01034,0.32962547785346785,0.3529504756977379,9388.0,213.23742401622536,651.3284309650297,3.0544752356203184
01035,0.32962547785346785,0.3529504756977379,306.0,166.530740085252,439.92998557408595,2.6417344050045823
01036,0.32962547785346785,0.3529504756977379,1351.0,172.38602066231675,471.6969894841882,2.736283299956121
01037,0.32962547785346785,0.3529504756977379,311.0,169.358958930984,460.2166198730993,2.7174034534579516
01038,0.8895691414446265,0.3529504756977379,777.0,243.2702701025239,879.1912114862838,3.6140511995804383
01040,0.7507688770084218,0.3529504756977379,475.0,226.64721410702032,766.6855956400834,3.382726757356316
01041,0.32962547785346785,0.3529504756977379,774.0,209.3960970950581,632.7123101311408,3.0216050772136063
01042,0.32962547785346785,0.3529504756977379,286.0,200.7389952888884,591.0872005889432,2.944555938114043
01043,0.32962547785346785,0.3529504756977379,5198.0,213.84107355582947,653.172263534744,3.0544752356203184
01044,0.32962547785346785,0.3529504756977379,713.0,187.71313248773697,532.9066745277862,2.838941886831494
01045,0.7507688770084218,0.3529504756977379,275.0,205.75521877626142,658.6143958679656,3.200960829985771
01046,0.7507688770084218,0.3529504756977379,889.0,241.30432119933167,843.7399329419862,3.4965802881126486
01047,0.32962547785346785,0.3529504756977379,1401.0,205.4647491424232,620.8333291971659,3.0216050772136063
01049,0.8895691414446265,0.8085280676036906,3449.0,330.046878951237,1394.5895500211236,4.225428685926669
01050,0.32962547785346785,0.3529504756977379,396.0,183.67816975231204,521.4516498063841,2.8389418868314937
01051,0.32962547785346785,0.3529504756977379,103.0,169.79739267582212,461.40802124543495,2.7174034534579516
01052,0.32962547785346785,0.3529504756977379,318.0,161.47426720063726,426.57212718682644,2.6417344050045823
01053,0.9866775890316462,0.3529504756977379,42372.0,301.0268325061955,1206.7608383491886,4.008814856477461
01054,0.32962547785346785,0.3529504756977379,1562.0,207.1250134344337,625.8499922114213,3.0216050772136063
01056,0.7507688770084218,0.3529504756977379,367.0,210.89376070280542,689.4841012774468,3.2693432891505876
01057,0.7507688770084218,0.3529504756977379,513.0,238.04211259308576,832.3333586336754,3.4965802881126486
01058,0.32962547785346785,0.8085280676036906,804.0,227.84644439712372,737.5649484732068,3.2371141468754807
01060,0.32962547785346785,0.3529504756977379,576.0,172.4449940898633,471.8583574891249,2.736283299956121
01061,0.32962547785346785,0.3529504756977379,1123.0,206.44891914390917,623.8071022704972,3.0216050772136063
01062,0.32962547785346785,0.3529504756977379,1028.0,204.24883687877463,601.4221254842823,2.9445559381140427
01063,0.8895691414446265,0.3529504756977379,592.0,269.9765339275178,1016.2498229140002,3.7642153861670025
01064,0.32962547785346785,0.3529504756977379,1119.0,198.53583905926322,584.5998838304075,2.944555938114043
01065,0.8895691414446265,0.3529504756977379,1899.0,275.00941622082286,1059.153166091988,3.8513341857412087
01066,0.32962547785346785,0.3529504756977379,98.0,158.13689503733627,402.1013002692849,2.542741845123166
01067,0.32962547785346785,0.3529504756977379,257.0,173.4698300006426,474.6625988769856,2.736283299956121
01068,0.32962547785346785,0.3529504756977379,747.0,191.4434393753667,543.4967990018142,2.8389418868314937
01069,0.7507688770084218,0.3529504756977379,1531.0,245.94121368046783,859.9531997896247,3.4965802881126486
01071,0.32962547785346785,0.3529504756977379,5832.0,215.65578605769113,658.7152579314511,3.0544752356203184
01072,0.8895691414446265,0.8085280676036906,3328.0,329.9506044203424,1394.1827488565577,4.225428685926669
01073,0.32962547785346785,0.3529504756977379,1064.0,188.7850200809705,535.9497011141918,2.8389418868314937
01074,0.32962547785346785,0.3529504756977379,2533.0,195.56043530776932,570.7876618955634,2.9187277119590602
01075,0.32962547785346785,0.3529504756977379,1505.0,197.94353070614522,582.8557987520394,2.944555938114043
01076,0.32962547785346785,0.3529504756977379,129.0,175.65793359327563,480.6498701960814,2.736283299956121
01077,0.32962547785346785,0.3529504756977379,184.0,172.3652113269628,471.64004924737594,2.736283299956121
01078,0.7507688770084218,0.8085280676036906,1632.0,301.02077586330154,1195.5285880442234,3.971581644541148
01079,0.7507688770084218,0.3529504756977379,831.0,228.62349610913486,773.370817648718,3.382726757356316
01080,0.32962547785346785,0.3529504756977379,665.0,170.14621802267789,462.35592044763445,2.7174034534579516
01081,0.32962547785346785,0.3529504756977379,725.0,171.54007153794333,469.38223302255267,2.736283299956121
01082,0.32962547785346785,0.3529504756977379,574.0,177.58756017287632,485.92987518099426,2.736283299956121
01083,0.8895691414446265,0.3529504756977379,1046.0,260.2194300231776,971.6059742951203,3.7337948753810575
01084,0.32962547785346785,0.3529504756977379,989.0,195.00446641659508,569.164940085906,2.9187277119590602
01085,0.32962547785346785,0.3529504756977379,388.0,175.8347356740841,481.1336507771951,2.736283299956121
01087,0.32962547785346785,0.3529504756977379,280.0,164.36205424529047,434.2008935770133,2.6417344050045823
01088,0.32962547785346785,0.3529504756977379,951.0,205.02907673205564,619.5168992299974,3.0216050772136063
01089,0.9967089189732977,0.3529504756977379,2443.0,287.10048319227224,1140.2430091853228,3.971581644541148
01090,0.32962547785346785,0.3529504756977379,373.0,172.87402478489082,473.03230701509733,2.736283299956121
01092,0.7507688770084218,0.9412779167025955,1698.0,307.64739729403004,1221.8467560838276,3.9715816445411476
01093,0.32962547785346785,0.3529504756977379,5250.0,211.37925733351358,645.6527068490318,3.0544752356203184
01094,0.7507688770084218,0.3529504756977379,726.0,227.79471312856305,770.5672712842962,3.382726757356316
01095,0.7507688770084218,0.3529504756977379,820.0,215.10636063462758,712.4792644653012,3.31221848746488
01096,0.32962547785346785,0.3529504756977379,1078.0,192.29466352865506,561.2557633029287,2.91872771195906
01098,0.32962547785346785,0.3529504756977379,1142.0,194.73001344949617,568.3638866052049,2.91872771195906
01099,0.7507688770084218,0.3529504756977379,1632.0,240.61346341879482,841.3242932446718,3.4965802881126486
01100,0.32962547785346785,0.3529504756977379,131.0,170.7721309044675,467.28092989181505,2.736283299956121
01101,0.7507688770084218,0.3529504756977379,149.0,211.4248299046096,691.2203488084399,3.269343289150588
01102,0.7507688770084218,0.3529504756977379,990.0,234.63037344678756,803.6125085571125,3.425014829716264
01103,0.32962547785346785,0.3529504756977379,2372.0,213.16021137290983,651.0925868581456,3.0544752356203184
