code_commune,mhat,loc_rel,zone_static_zoning,rel_static_zoning,zone_mean_dqn,rel_mean_dqn,zone_qr_mean,rel_qr_mean,zone_tail_qr_zoning,rel_tail_qr_zoning
01001,189.01496212446975,0.6946756223079841,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01002,176.4460699930693,0.6484819090433548,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01004,349.8543818983638,1.2857993236661225,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01005,202.66055213860614,0.7448264602537523,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01006,168.1705139435349,0.618067242479185,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01007,336.54450696130147,1.236882319684943,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01008,205.31184877458813,0.754570615530259,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01009,187.20207093419046,0.6880128094722753,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01010,182.44062537793906,0.6705133474312948,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01011,175.22551945072772,0.6439960911058248,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01012,217.78146910051564,0.8003994809412082,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01013,196.3261061352331,0.7215458417783125,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01014,271.94461290991524,0.9994621117988343,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01015,177.71445009526704,0.6531435121615092,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01016,230.65313949501518,0.8477059774266769,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01017,232.86907883655186,0.8558500895317548,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01019,154.31174346625477,0.5671329148602513,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01021,211.05840099208478,0.7756905823992628,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01022,212.31698713592218,0.780316190355752,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01023,166.04226696175874,0.6102454209690081,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01024,288.3086570281072,1.0596039249310374,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01025,269.58687774168,0.9907968657949084,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01026,300.1166772883853,1.1030012503614566,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01027,207.0354340225595,0.7609052074656155,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01028,193.52310821945557,0.7112441476712159,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01029,257.46815717449783,0.946257641719938,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01030,266.12430481866005,0.9780710742858656,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01031,213.5787812171813,0.7849535882568028,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01032,210.7719550540605,0.7746378244164128,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01033,288.5698117883376,1.0605637317290952,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01034,213.23742401622536,0.7836990181246922,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01035,166.530740085252,0.6120406776366785,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01036,172.38602066231675,0.6335602474788891,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01037,169.358958930984,0.6224350647507962,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01038,243.2702701025239,0.8940769787378876,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01040,226.64721410702032,0.8329832344197389,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01041,209.3960970950581,0.7695812142246335,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01042,200.7389952888884,0.7377642748829518,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01043,213.84107355582947,0.7859175759302074,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01044,187.71313248773697,0.6898910840742288,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01045,205.75521877626142,0.7562001073353695,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01046,241.30432119933167,0.88685164185238,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01047,205.4647491424232,0.7551325612989066,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01049,330.046878951237,1.2130019679356197,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01050,183.67816975231204,0.6750616218045964,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01051,169.79739267582212,0.6240464146202086,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
01052,161.47426720063726,0.593456918931428,0,0.9068381139068498,0,0.8229975978010885,0,0.8179220409094762,0,0.8229975978010885
