method,VaR,TVaR
Mean DQN,-1821174.9634049172,-785824.9824969854
QR Mean,-1821089.650015888,-789550.931141255
Static Zoning,-1798253.709406848,-734356.6625915752
Tail-QR Zoning,-1768073.194406086,-727203.8237029265
